"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"average-commitment"
"02/25/2024 15:39:37:130 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"3","0.1","1","4","5000","4","0","0","0","0","400","0","63","0","0","0","400","0","201.12","10.324030220800402","100.88","9.592997446054076","98","8.56971411425142","0","0","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","365","102.32","5.7111820142593945","515.48","12.958765373290774","63","0","109.04","5.681408276123095","406.44","14.463969026515509","243.36","10.917435596329389","121.44","10.276497457791734","150.68","11.837972799428117","11.48","1.0998181667894014","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","730","207.6","8.094442537939225","626.16","24.908922096309183","63","0","234.36","8.731002233420856","391.8","24.90140558281801","288.24","11.50749321094738","143","12.053215338655491","194.92","15.241837159607762","12.32","1.3481839637082176","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","1095","311.56","8.44786363526306","739.4","38.48843982288708","63","0","367.8","14.377760604489144","371.6","30.89465973271109","335.72","16.24197032382463","167.08","15.369892647640711","236.6","18.836135484753765","13.48","1.6521501142450707","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","1460","425.44","2.9943947635540646","856.6","49.56692445572955","63","0","516.88","17.96066813901977","339.72","35.3751551233348","389.2","21.77154105707724","191.72","16.71291716008908","275.68","21.84256395206387","14.64","2.48","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","1825","531.88","14.409219271008403","973.8","61.99741930112897","63","0","654.84","31.207281201668305","318.96","36.96103894643656","440.76","26.91509613581196","217.92","19.00088418995285","315.12","26.153883076897007","16.36","2.62114478806494","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","2190","641.84","26.016425580774925","1082.08","71.60665890823282","63","0","793.92","47.49224778845491","288.16","29.87263630816671","486.16","29.654922019792934","242.56","22.222655106894855","353.36","29.51593467942359","17.52","2.385288242540092","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","2555","756.52","39.529351120401664","1186.4","78.20588213171692","63","0","929.6","64.72959137828695","256.8","20.844183841062232","531.96","32.1402924691111","264.4","23.64741000617192","390.04","32.33880640963732","18.72","2.5063120316512864","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","2920","876.48","51.2446055697573","1289.32","87.95486115047878","63","0","1062.28","77.99667685228647","227.04","20.438160386884142","575.44","35.43566564917329","285.44","23.91665528455014","428.44","37.157050474977154","20.2","2.5455844122715714","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
"3","0.1","1","4","5000","4","0","3285","991.76","62.8886508044178","1384.6","96.38755106340237","63","0","1186.56","89.22245457282601","198.04","18.140518184440047","618.56","39.94404085717918","306.36","26.609592255425486","459.68","38.14364429364347","21.32","3.0557486807654843","2507.76","47.07974511400842","2492.24","47.07974511400842","1249.64","36.78029907436861","1242.6","36.30206605690646"
