"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"Base experiment"
"02/24/2024 22:20:12:595 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"3","1","1","4","5000","4","523","0","0","0","400","0","63","0","0","0","400","0","200.48","10.253272648281621","101.72","8.478301716735492","97.8","7.8281543163123715","0","0","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842359"
"3","1","1","4","5000","4","523","365","101.36","8.014387063275644","587.28","10.207918494972416","63","0","144.36","11.767344645246014","442.92","16.12679757422409","265.08","8.840452477107721","132.84","9.477045953249355","189.36","9.653517493639301","12.12","1.3948476619330155","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842359"
"3","1","1","4","5000","4","523","730","205.6","11.200000000000001","798.8","22.123290894439734","63","0","337.44","20.394273706116625","461.36","28.203375684481458","355.32","10.306192313361905","178.92","11.110067506545585","264.56","14.996212855251157","14.44","1.7906423428479512","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","1095","310.76","8.12541691238056","962.32","29.899458189070923","63","0","552.2","19.73220717507294","410.12","30.633733040555143","430.2","12.076423311560424","218.52","13.983189907885826","313.6","17.774138516395105","16.84","2.110544953323667","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","1460","505.12","5.659116538824767","1122.6","37.96314001765397","63","0","853.28","23.169842468174014","269.32","28.552716158012007","501.96","11.653257055433043","255.48","15.518041113491098","365.16","20.681740739115746","18.8","2.227105745132009","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","1825","589.96","10.405690750738273","1360.72","55.589581757735864","63","0","1120.64","39.06699886093121","240.08","29.34064757294903","607.48","18.817268664713275","307.6","18.984203960134856","445.64","26.21279077091945","21.68","2.493511580081392","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","2190","806.52","22.396642605533536","1600.88","66.61790750241259","63","0","1464.96","59.70492776982483","135.92","19.575331414819004","712.72","23.389775544027778","360.76","20.04051895535642","527.4","31.849646779831016","24.2","2.3664319132398464","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","2555","1019","34.337151891209615","1813.08","73.89393479846638","63","0","1724","70.15297570310186","89.08","16.859228926614644","808.6","26.761165893884368","407.64","23.659044782070136","596.84","34.05957134198844","26.24","3.0890775322092514","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","2920","1156.08","42.13019819559362","2080.4","88.11356308764276","63","0","2008.8","84.63663509379374","71.6","13.801449199268895","928.88","32.21840467807182","471.24","25.80430971756462","680.28","41.65431070129477","29.2","3.212475680841802","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
"3","1","1","4","5000","4","523","3285","1382.88","56.621070283066885","2349.32","97.48793566385537","63","0","2298.44","98.31991863300132","50.88","11.476306025895266","1054.04","37.66003717470284","533.92","29.044682818030566","761.36","45.08470250539533","32.28","3.2560098279949945","2508.68","36.832290181306945","2491.32","36.832290181306945","1254.48","31.207845167521583","1236.84","36.45235794842358"
