"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"Base experiment"
"02/24/2024 21:34:05:382 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"9","3","1","1","4","5000","4","523","0","0","400","63","0","400","221","90","89","0","2552","2448","1218","1230"
"2","3","1","1","4","5000","4","523","0","0","400","63","0","400","200","105","95","0","2526","2474","1260","1214"
"8","3","1","1","4","5000","4","523","0","0","400","63","0","400","192","97","111","0","2431","2569","1337","1232"
"15","3","1","1","4","5000","4","523","0","0","400","63","0","400","203","103","94","0","2498","2502","1239","1263"
"4","3","1","1","4","5000","4","523","0","0","400","63","0","400","209","105","86","0","2527","2473","1298","1175"
"16","3","1","1","4","5000","4","523","0","0","400","63","0","400","227","80","93","0","2518","2482","1254","1228"
"13","3","1","1","4","5000","4","523","0","0","400","63","0","400","192","112","96","0","2527","2473","1253","1220"
"3","3","1","1","4","5000","4","523","0","0","400","63","0","400","194","113","93","0","2506","2494","1214","1280"
"10","3","1","1","4","5000","4","523","0","0","400","63","0","400","184","109","107","0","2455","2545","1284","1261"
"7","3","1","1","4","5000","4","523","0","0","400","63","0","400","189","112","99","0","2511","2489","1292","1197"
"5","3","1","1","4","5000","4","523","0","0","400","63","0","400","190","99","111","0","2486","2514","1240","1274"
"11","3","1","1","4","5000","4","523","0","0","400","63","0","400","210","108","82","0","2551","2449","1247","1202"
