"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"condom-use"
"02/27/2024 02:03:53:163 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"3","0.1","1","0","5000","4","523","0","0","0","400","0","63","0","0","0","400","0","200.72","9.114910860781908","101.36","7.24364549104938","97.92","6.746376805367456","0","0","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","365","100.08","9.13419947231283","590.44","9.984307687566524","63","0","144.16","14.890748805886158","446.28","13.349217205514336","267.24","8.42510534058774","132.72","8.229313458606374","190.48","10.206350963983162","12.52","1.962039754948915","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","730","205.32","11.223974340669175","806.08","21.260141109597555","63","0","339.68","22.293891540060923","466.4","25.397637685422637","360.28","12.252412007437552","180.04","10.697588513305233","265.76","14.38688291465528","15.8","2.209072203437452","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","1095","309.96","8.64166650594664","978.96","29.299119440693094","63","0","558.76","26.40042423901555","420.2","27.090957901115274","438.68","15.384979687994392","222.56","13.296856771432864","317.72","15.198736789615115","18","2.5768197453450252","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","1460","513","8.560373823613078","1139.24","37.872713132280346","63","0","869","27.443031902470253","270.24","20.543183784408882","511.6","18.095303258028036","256.36","16.350853188748285","371.28","18.409823464661468","20.16","3.1959974968701084","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","1825","592.68","10.25561309722632","1392.4","51.642618059118576","63","0","1146.12","40.63035318576495","246.28","21.667524085598707","624.28","21.44485019765818","311.24","19.998559948156267","456.88","23.757642980733593","23.08","3.8876213807417006","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","2190","814.24","21.783075999500163","1652.6","56.598233187971516","63","0","1515.8","49.58951502081867","136.8","16.022484201895786","739.04","24.797548265907253","369.04","21.066523206262584","544.52","25.101585607287838","26.16","3.759574444002938","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","2555","1035.32","31.11233838849147","1882.6","61.49991869913325","63","0","1792.88","55.305927349606925","89.72","14.60827162945706","843.32","25.862281415219346","420.08","22.231365230232715","619.2","25.693578964402764","28.68","3.6847795049364893","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","2920","1176.64","41.203766818095644","2171.84","70.91498008178526","63","0","2102.36","66.22741426327921","69.48","11.045795580219654","977.56","31.066483547385918","485.4","24.222303771524295","708.88","27.66704899334224","31.84","3.6625674055230713","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","3285","1415.52","51.819780007252064","2471.28","74.78958216222362","63","0","2423.4","72.8477865140733","47.88","11.258134836641458","1119.8","30.72979010667011","555.16","24.8639176317812","796.32","32.01214769427381","35.2","3.8366652186501753","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","3650","1696.88","55.03185986317381","2730.68","81.52580941027203","63","0","2698.08","79.28879870448284","32.6","10.311159003720192","1242","35.0736368231183","616.88","27.430377321502526","871.8","33.244548425268164","37.36","4.01875602643405","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","4015","1937.48","63.19121457924353","2994.92","85.20747385059599","63","0","2973.52","83.98100737666819","21.4","6.8934751758456345","1365.2","38.600518131237564","683.92","26.54794907332768","945.8","34.17835572405437","40.08","3.9285620779109505","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","4380","2211.12","70.5381145197403","3243.76","83.2818251481078","63","0","3226.88","81.95819422120036","16.88","5.293921042101025","1488.12","41.70114626721908","744.92","26.537400023363254","1010.72","33.824866592493755","43.24","3.9525181846514004","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","4745","2515.44","77.29169683737058","3452.4","84.14035892483463","63","0","3440.76","85.14659359011375","11.64","3.9686773615399877","1592.44","40.66455950824993","797.28","29.681671111984244","1062.68","34.70644896845541","45.4","3.7629775444453557","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","5110","2782.4","83.09127511357615","3643.6","87.13024733122246","63","0","3633.36","87.2059080567366","10.24","4.456725255162135","1689.24","42.28406792161795","849.2","31.994999609313957","1105.16","35.00249133990322","47.76","3.5808378907736107","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","5475","3031.52","85.46911488953188","3810.84","79.78304581801824","63","0","3801.96","80.15708577536986","8.88","4.003198721022978","1777.04","41.5234680632531","894.36","31.371171479560658","1139.44","32.36674836927553","49.56","3.359523775775371","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","5840","3278.68","84.80505645302054","3952.2","75.34135650491037","63","0","3945.2","75.04185498773334","7","2.6229754097208002","1853","41.45165859166555","932.76","30.158620658113662","1166.44","29.775264902264095","50.64","3.0968370961353466","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","6205","3488.04","84.0535448389894","4073.96","70.31158083843657","63","0","4067.68","70.4844493487748","6.28","2.7205881717011122","1920.24","40.236580371597185","966.72","31.323499165961646","1187","28.133965237769097","52.24","3.1784272840510286","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","6570","3671.4","86.01627752931418","4179.04","65.02275294079757","63","0","4173.72","65.52100121335143","5.32","2.3446961423604553","1980.56","38.64409916145025","997.44","32.33212643795641","1201.04","27.61228712004857","53.8","2.979932885150268","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","6935","3834.8","79.76866552726077","4273.12","59.43219329622626","63","0","4268.4","60.33771623122639","4.72","1.9701776569639602","2036.64","39.16312551367677","1024.24","33.18226032084011","1212.24","27.669882544022474","54.84","3.158227350904301","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","7300","3974.28","73.25545440443327","4350.72","53.637688242503515","63","0","4346.68","54.14699991689292","4.04","1.3705473359209452","2083.8","35.94662710185756","1046.52","31.546942799580435","1220.4","27.476535443901952","55.64","3.0578423765786233","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","7665","4092.08","68.68998180229778","4420.2","50.82519060465981","63","0","4415.6","51.5573467121806","4.6","1.876166303929372","2126.72","36.17902154564161","1066.6","29.866369046136157","1226.88","27.25189167745975","56.56","2.9131426329653007","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","8030","4194.68","63.26118557219744","4483.68","46.77496766433945","63","0","4479.6","47.09394865585174","4.08","1.572768260107","2166.28","34.40758056010333","1085.84","28.925670260168566","1231.56","26.997896214334922","57.4","2.7856776554368237","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","8395","4286.12","59.30417860488416","4535.64","42.15294058544433","63","0","4532.32","42.54853228961019","3.32","1.4620533505997653","2198.52","35.036118506478424","1102.84","29.02644311657906","1234.28","25.806231805515505","58.32","2.603382415243677","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","8760","4363.72","51.25272285449818","4582.52","41.60780695975216","63","0","4579.88","41.66564052069763","2.64","1.4664242223858686","2227.28","36.19007598776217","1118.36","29.59713499648235","1236.88","25.57705221482726","58.88","2.268391500601252","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.0730665824146","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","9125","4430.32","50.79426739308287","4623.08","36.37682778912971","63","0","4620.32","36.71045627610749","2.76","1.3937001112147474","2254.04","33.703981960593325","1130.68","30.269086540561478","1238.36","25.051754429580377","59.2","2.0591260281973995","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","9490","4492.56","47.10675535419523","4660.04","33.74312374395708","63","0","4657.64","33.8181962854319","2.4","1.4696938456699067","2277.76","34.05087957747935","1142.8","30.497212987419022","1239.48","24.80341911914565","59.48","1.9823218709382187","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","9855","4542.44","43.0265778327768","4693.8","33.72239611889997","63","0","4692.12","33.79268559910561","1.68","1.287478155154487","2299.56","34.144492967387876","1153.92","30.77001137471352","1240.32","24.929853589622226","59.92","1.6228370220080635","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","10220","4588.08","40.52546853523103","4725.32","30.61727616885604","63","0","4723.96","30.45321657887718","1.36","1.0537551897855593","2320.84","32.96626154115751","1163.64","31.554245356211588","1240.84","24.907316194243005","60.4","1.469693845669907","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","10585","4629.48","35.60350544539119","4752.16","27.42798570803187","63","0","4750.6","27.701263509089255","1.56","1.6019987515600629","2338.16","31.875608229491096","1172.6","30.75581245878574","1241.4","24.970382456021774","60.68","1.4062716664997554","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","10950","4665.56","34.19950876840192","4775.64","25.77732336764235","63","0","4773.88","25.76403695075754","1.76","1.1412274094149684","2353.48","31.296159508795963","1180.32","30.99383164437724","1241.84","24.84782485450185","60.88","1.36586968631711","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","11315","4699.48","33.47729977163631","4798.52","23.88827327372157","63","0","4796.52","23.961836323620947","2","1.4966629547095767","2368.08","32.54033804372658","1188.12","31.237567126778618","1242.32","24.720388346464137","61.12","1.3658696863171098","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","11680","4730.2","30.065262347100845","4819.76","21.281503706270385","63","0","4818.04","21.82380351817711","1.72","1.4288456879593403","2382.44","32.06877609139456","1194.8","31.771685507696944","1242.52","24.649738335325186","61.28","1.2172099243762353","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","12045","4755.6","27.080620376941145","4836.68","21.34801161701014","63","0","4835.4","21.594443729811612","1.28","1.1838918869558992","2393.4","30.716770663596787","1200.68","31.904507518530984","1242.6","24.6414285300183","61.44","1.2354756169184398","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","12410","4779.12","25.602062416922585","4852.88","22.036914484564306","63","0","4851.72","22.411639832908257","1.16","1.0836973747315255","2404.44","30.575912087785706","1205.76","31.18625338189889","1242.68","24.619861900506265","61.6","1.1661903789690602","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","12775","4802.12","23.908692979751113","4866.28","20.259358331398357","63","0","4865.48","20.587607923214396","0.8","0.7999999999999999","2412.88","30.756228637464638","1210.6","31.443918330895087","1242.8","24.542208539575242","61.64","1.1959933110180843","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","13140","4822.88","20.96915830451952","4880.04","19.15302587060331","63","0","4879.12","19.281742659832386","0.92","0.6273754856543248","2422.48","29.998826643720587","1214.68","31.340350987185833","1242.88","24.495419980069745","61.68","1.1906300852909772","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","13505","4839.56","21.806567817976312","4891.48","17.942396718387428","63","0","4890.88","17.978476019952303","0.6","0.6324555320336759","2430.36","29.367846362986846","1218.24","31.42773297582885","1242.88","24.495419980069745","61.8","1.0954451150103324","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","13870","4855.24","21.3115555509212","4901.96","16.848691343840322","63","0","4901.44","16.812090887215664","0.52","0.7547184905645283","2437.16","29.920802128285274","1221.88","30.954573167788954","1242.92","24.55185532704199","61.84","1.0461357464497614","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","14235","4868.88","20.247113374503538","4910.52","16.208935807140453","63","0","4910","16.19629587282228","0.52","0.6997142273814362","2442.72","29.821495603004223","1224.84","31.007973168203044","1242.96","24.6259700316556","61.88","1.070327052820772","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","14600","4881.84","18.892707587849873","4918.8","14.436065946094873","63","0","4918.2","14.57669372663088","0.6","0.7483314773547883","2448.6","30.875232792644656","1227.24","30.85874916454003","1242.96","24.6259700316556","62.04","0.9156418513807677","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","14965","4893.4","17.686152775547317","4927.12","13.912066704842958","63","0","4926.56","13.723206622360532","0.56","0.8979977728257459","2454.52","31.887452077580612","1229.64","31.03788652598627","1242.96","24.6259700316556","62.2","0.7483314773547881","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","15330","4903.8","16.76186147180557","4934.12","13.282529879507141","63","0","4933.8","13.200000000000001","0.32","0.466476151587624","2459.04","32.08299237914069","1232.12","30.779629627401302","1242.96","24.6259700316556","62.24","0.7088018058667739","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","15695","4912.28","15.706100725514274","4940.76","12.090591383385682","63","0","4940.48","12.03368605207897","0.28","0.530659966456864","2463.76","32.635293778362104","1234","31.035463586033316","1243","24.647920804806233","62.4","0.6928203230275509","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","16060","4920.68","14.556702923395804","4945.92","12.165262019373035","63","0","4945.52","12.123101913289352","0.4","0.6324555320336759","2467.08","32.11843084585546","1235.84","30.881295309620683","1243","24.647920804806233","62.44","0.6974238309665078","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","16425","4928.16","14.004799177424859","4950.76","11.597516975628881","63","0","4950.52","11.4372024551461","0.24","0.42708313008125237","2470.6","32.637401857378286","1237.16","31.141843233822886","1243","24.647920804806233","62.52","0.64","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","16790","4935.16","12.783364189445594","4955.72","10.985517739278382","63","0","4955.52","11.13236722355133","0.2","0.48989794855663565","2473.68","32.89342791501062","1239.04","31.40761691055213","1243","24.647920804806233","62.56","0.5713142742834281","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","17155","4941.56","12.030228593006868","4960.32","10.387376954746562","63","0","4960.04","10.413376013570241","0.28","0.44899888641287294","2476.76","33.61223586731475","1240.56","31.23469865390092","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","17520","4946.52","12.03368605207897","4964","9.346657156438338","63","0","4963.76","9.369226222052706","0.24","0.5122499389946279","2479","33.70815924965349","1242","31.271712457107302","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","17885","4951.76","11.64913730711421","4967.24","8.324806304052965","63","0","4967.12","8.444264325564426","0.12","0.32496153618543844","2481.32","33.550821152395066","1242.92","31.5365438816621","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","18250","4956.28","10.853644549182548","4970.88","7.829789269194927","63","0","4970.68","7.8624169311987","0.2","0.565685424949238","2483.96","33.836642859480015","1243.92","31.488308941573848","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","18615","4960.64","10.287390339634246","4973.76","7.532755140053339","63","0","4973.6","7.6262703859750465","0.16","0.46303347611160894","2485.96","33.791691286468634","1244.8","31.696056537052055","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","18980","4964.68","9.23350421021185","4976.56","6.8706913771468425","63","0","4976.44","6.8706913771468425","0.12","0.3249615361854385","2487.6","33.99294044356858","1245.96","31.82386525863884","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","19345","4967.72","8.243882580435022","4978.92","6.266865245080669","63","0","4978.84","6.341482476519192","0.08","0.2712931993250107","2489.32","34.16866400665967","1246.6","32.11354854263228","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","19710","4971.4","7.98498591107085","4980.64","5.6276460443066245","63","0","4980.44","5.720699257957893","0.2","0.48989794855663565","2490.4","34.51260639244738","1247.24","32.097700852241736","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","20075","4974.36","7.42902416202828","4982.36","5.090225928188256","63","0","4982.32","5.073223827114273","0.04","0.19595917942265426","2491.56","34.25326845718522","1247.8","31.982495212225075","1243","24.647920804806233","62.64","0.5571355310873648","2503.28","34.549118657355066","2496.72","34.549118657355066","1253.72","32.073066582414604","1243","24.647920804806233"
"3","0.1","1","0","5000","4","523","20440","4976.666666666667","6.478597241858935","4983.541666666667","4.609583917111054","63","0","4983.5","4.573474244670748","0.041666666666666664","0.19982631347136337","2492.9583333333335","34.99699887926899","1249.5","32.09620953736853","1241.0833333333333","23.25925741625376","62.625","0.5636562191028618","2504.0833333333335","35.032028995699854","2495.9166666666665","35.032028995699854","1254.8333333333333","32.257643366426436","1241.0833333333333","23.25925741625376"
"3","0.1","1","0","5000","4","523","20805","4978.875","6.206934965558014","4985.583333333333","4.019915698397446","63","0","4985.5","3.968626966596886","0.08333333333333333","0.27638539919628324","2494.4583333333335","34.56392527702194","1250.0416666666667","32.17721653420148","1241.0833333333333","23.25925741625376","62.625","0.5636562191028618","2504.0833333333335","35.032028995699854","2495.9166666666665","35.032028995699854","1254.8333333333333","32.257643366426436","1241.0833333333333","23.25925741625376"
"3","0.1","1","0","5000","4","523","21170","4980.708333333333","5.279513603438188","4987.125","4.126262433082349","63","0","4987","4.092676385936225","0.125","0.33071891388307384","2495.4166666666665","34.42735911387273","1250.625","32.38416858590012","1241.0833333333333","23.25925741625376","62.625","0.5636562191028618","2504.0833333333335","35.032028995699854","2495.9166666666665","35.032028995699854","1254.8333333333333","32.257643366426436","1241.0833333333333","23.25925741625376"
"3","0.1","1","0","5000","4","523","21535","4982.333333333333","4.904646323187387","4988.583333333333","3.639100926816342","63","0","4988.5","3.6170890690351176","0.08333333333333333","0.27638539919628324","2496.2916666666665","34.82752642985462","1251.2083333333333","32.10397063535219","1241.0833333333333","23.25925741625376","62.625","0.5636562191028618","2504.0833333333335","35.032028995699854","2495.9166666666665","35.032028995699854","1254.8333333333333","32.257643366426436","1241.0833333333333","23.25925741625376"
