"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"coupling-tendency"
"02/28/2024 18:17:08:445 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"0","0.1","1","4","5000","4","523","0","0","0","400","0","63","0","0","0","400","0","198.48","10.435017968360189","99.52","9.457779866332267","102","9.050966799187808","0","0","2491.36","42.69789690371178","2508.64","42.69789690371178","1247.4","35.09757826403412","1261.24","27.19158693419713"
"0","0.1","1","4","5000","4","523","365","100.76","9.322145675755126","410","0","63","0","100.8","9.243376006633074","309.2","9.243376006633074","203.52","10.714924171453571","102.24","9.567779261667777","104.24","8.603627142083738","10","0","2491.36","42.69789690371178","2508.64","42.69789690371178","1247.4","35.09757826403412","1261.24","27.19158693419713"
"0","0.1","1","4","5000","4","523","730","206.04","8.40228540338877","410","0","63","0","206.2","8.284926070883191","203.8","8.284926070883191","203.52","10.714924171453571","102.24","9.567779261667777","104.24","8.603627142083738","10","0","2491.36","42.69789690371178","2508.64","42.69789690371178","1247.4","35.09757826403412","1261.24","27.19158693419713"
"0","0.1","1","4","5000","4","523","1095","306.8","7.037044834303672","410","0","63","0","307","7.002856560004639","103","7.002856560004639","203.52","10.714924171453571","102.24","9.567779261667777","104.24","8.603627142083738","10","0","2491.36","42.69789690371178","2508.64","42.69789690371178","1247.4","35.09757826403412","1261.24","27.19158693419713"
"0","0.1","1","4","5000","4","523","1460","409","N/A","410","N/A","63","N/A","409","N/A","1","N/A","197","N/A","100","N/A","113","N/A","10","N/A","2461","N/A","2539","N/A","1259","N/A","1280","N/A"
"2","0.1","1","4","5000","4","523","0","0","0","400","0","63","0","0","0","400","0","202.84","10.15748000244155","98.48","9.174399162887998","98.68","9.237835244255011","0","0","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","365","99.92","9.221366493096346","589.84","10.54392716211564","63","0","139.04","13.385006537166875","450.8","16.930445948054647","268.6","10.182337649086286","130.24","10.296717923688114","191","10.315037566582102","12.4","1.019803902718557","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","730","200.76","12.225481585606355","794.92","23.46558330832626","63","0","324","19.518196638009364","470.92","29.709150105649265","358.44","16.324411168553677","174.6","11.224972160321823","261.88","14.367518922903843","14.92","1.9374209661299735","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","1095","306.4","9.732420048477152","918.16","29.976897771450602","63","0","523.8","22.971286424577965","394.36","29.22585157014249","414.8","18.449932249198103","202.56","12.442122005510154","300.8","17.56359872008012","16.28","2.0884443971530584","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
"2","0.1","1","4","5000","4","523","1460","483.76","6.0218269652988194","1106.12","40.893344201715756","63","0","821.48","24.708087744704166","284.64","26.235670374511113","499","24.0765446025795","244.96","13.301067626322332","362.16","20.536172963821663","17.76","2.2321290285285933","2504.6","26.843248685656516","2495.4","26.843248685656516","1248.4","31.485869846647084","1247","34.318508126082634"
