"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"drug-tendency"
"02/28/2024 13:05:01:418 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"3","0","1","4","5000","4","523","0","0","0","400","0","0","0","0","0","400","0","199.24","10.308365534845962","99","9.033271832508971","101.76","8.622203894596787","0","0","2497.32","40.98264998752521","2502.68","40.98264998752521","1250","32.730413990660125","1252.68","25.887016050522313"
"3","0","1","4","5000","4","523","365","100.16","9.349566834885989","579.12","8.16","0","0","142.88","13.894804784522883","436.24","16.3665023752786","260.28","9.353159893854054","128.24","9.122631199385406","190.6","7.787168933572714","0","0","2497.32","40.98264998752521","2502.68","40.98264998752521","1250","32.730413990660125","1252.68","25.887016050522313"
"3","0","1","4","5000","4","523","730","203.68","10.968026258174259","785.24","18.768654720037873","0","0","334.28","23.867165730350134","450.96","27.019222786749438","353.04","10.901302674451344","171.24","9.034511608271917","260.96","11.884376298317047","0","0","2497.32","40.98264998752521","2502.68","40.98264998752521","1250","32.730413990660125","1252.68","25.887016050522313"
"3","0","1","4","5000","4","523","1095","309.24","9.339293335151222","945.48","26.292386730762956","0","0","553","23.29978540673712","392.48","26.93714164494815","425.8","14.355486755941088","209","10.49571341072154","310.68","14.712498088360114","0","0","2497.32","40.98264998752521","2502.68","40.98264998752521","1250","32.730413990660125","1252.68","25.88701605052232"
"3","0","1","4","5000","4","523","1460","495.48","7.200666635805326","1102.44","35.176219239707955","0","0","843.4","21.130073355291504","259.04","23.161139868322543","496.96","18.274528721693482","243.92","13.629145240989986","361.56","16.678321258448047","0","0","2497.32","40.982649987525214","2502.68","40.982649987525214","1250","32.730413990660125","1252.68","25.88701605052232"
"3","0","1","4","5000","4","523","1825","581.16","7.933120445322885","1343.4","43.72459262245905","0","0","1114.32","30.70468368180985","229.08","23.007685672400868","605.08","22.89440106226848","294.64","14.546147256232492","443.68","19.53196354696578","0","0","2497.32","40.982649987525214","2502.68","40.982649987525214","1250","32.730413990660125","1252.68","25.88701605052232"
"3","0","1","4","5000","4","523","2190","793.64","19.28497861030704","1580.44","49.291849224795776","0","0","1450.16","39.45800805920136","130.28","18.283369492519697","709.48","26.56632454819447","347.96","18.928243447293255","523","22.09977375449803","0","0","2497.32","40.982649987525214","2502.68","40.982649987525214","1250","32.730413990660125","1252.68","25.88701605052232"
"3","0","1","4","5000","4","523","2555","1001.36","29.668677085438105","1794.2","64.84813027374035","0","0","1707.92","55.94920553502079","86.28","16.172866165278187","804.68","31.36841723772495","396.8","21.297887219158614","592.72","27.04295841804295","0","0","2497.32","40.982649987525214","2502.68","40.982649987525214","1250","32.730413990660125","1252.68","25.88701605052232"
"3","0","1","4","5000","4","523","2920","1135.04","36.16128316307373","2067.6","75.18191271841918","0","0","1998.6","69.11555541265658","69","16.07233648229155","930.28","35.23693516751989","458.88","23.520748287416367","678.44","30.385628181757244","0","0","2497.32","40.982649987525214","2502.68","40.982649987525214","1250","32.730413990660125","1252.68","25.88701605052232"
"3","0","1","4","5000","4","523","3285","1366.12","44.719856887069746","2344.96","85.4220018496406","0","0","2294.84","79.95982991477658","50.12","13.179742030859328","1056.72","41.36812299343542","525.64","23.966443207117738","762.6","33.91047035946273","0","0","2497.32","40.982649987525214","2502.68","40.982649987525214","1250","32.730413990660125","1252.68","25.88701605052232"
"3","0","1","4","5000","4","523","3650","1625.8","50.718832794140674","2588.8","87.75283471204791","0","0","2555.96","85.78693606837815","32.84","6.978137287270867","1168.08","42.834490775542086","584.64","25.09960955871625","836.08","34.80795311419504","0","0","2497.32","40.982649987525214","2502.68","40.982649987525214","1250","32.730413990660125","1252.68","25.887016050522313"
"3","0","1","4","5000","4","523","4015","1845.8","65.10852478746541","2844.28","87.22225404104161","0","0","2823.36","88.15254051926127","20.92","6.052569702200876","1288.2","42.951135025747575","645.04","26.076011965022563","911.04","36.3477427084544","0","0","2497.32","40.982649987525214","2502.68","40.982649987525214","1250","32.730413990660125","1252.68","25.887016050522313"
