"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"drug-tendency"
"02/27/2024 18:25:17:705 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"[run number]","average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","count turtles with [treated?]","count turtles with [infected?]","count turtles with [drugs?]","count turtles with [known?]","count turtles with [infected? and not known?]","count turtles with [gender = 1 and infected?]","count turtles with [shape = ""person lefty"" and infected?]","count turtles with [shape = ""person righty"" and infected?]","count turtles with [infected? and drugs?]","count turtles with [gender = 1]","count turtles with [gender = 0]","count turtles with [shape = ""person lefty""]","count turtles with [shape = ""person righty""]"
"15","3","0","1","4","5000","4","523","0","0","400","0","0","400","215","107","78","0","2523","2477","1254","1223"
"13","3","0","1","4","5000","4","523","0","0","400","0","0","400","185","105","110","0","2398","2602","1318","1284"
"8","3","0","1","4","5000","4","523","0","0","400","0","0","400","199","112","89","0","2493","2507","1254","1253"
"14","3","0","1","4","5000","4","523","0","0","400","0","0","400","182","115","103","0","2498","2502","1249","1253"
"11","3","0","1","4","5000","4","523","0","0","400","0","0","400","205","93","102","0","2560","2440","1212","1228"
"4","3","0","1","4","5000","4","523","0","0","400","0","0","400","198","85","117","0","2498","2502","1245","1257"
"7","3","0","1","4","5000","4","523","0","0","400","0","0","400","226","79","95","0","2550","2450","1196","1254"
"5","3","0","1","4","5000","4","523","0","0","400","0","0","400","209","100","91","0","2546","2454","1230","1224"
"9","3","0","1","4","5000","4","523","0","0","400","0","0","400","206","87","107","0","2426","2574","1293","1281"
"6","3","0","1","4","5000","4","523","0","0","400","0","0","400","199","99","102","0","2500","2500","1269","1231"
"3","3","0","1","4","5000","4","523","0","0","400","0","0","400","195","109","96","0","2464","2536","1274","1262"
"1","3","0","1","4","5000","4","523","0","0","400","0","0","400","196","100","104","0","2533","2467","1222","1245"
"10","3","0","1","4","5000","4","523","0","0","400","0","0","400","194","112","94","0","2476","2524","1264","1260"
"16","3","0","1","4","5000","4","523","0","0","400","0","0","400","210","93","97","0","2530","2470","1242","1228"
"12","3","0","1","4","5000","4","523","0","0","400","0","0","400","206","86","108","0","2531","2469","1273","1196"
"2","3","0","1","4","5000","4","523","0","0","400","0","0","400","186","103","111","0","2510","2490","1235","1255"
"15","3","0","1","4","5000","4","523","365","106","581","0","150","431","263","132","186","0","2523","2477","1254","1223"
"12","3","0","1","4","5000","4","523","365","100","573","0","133","440","266","124","183","0","2531","2469","1273","1196"
"11","3","0","1","4","5000","4","523","365","124","586","0","173","413","267","123","196","0","2560","2440","1212","1228"
"16","3","0","1","4","5000","4","523","365","110","572","0","154","418","266","126","180","0","2530","2470","1242","1228"
"8","3","0","1","4","5000","4","523","365","103","580","0","152","428","247","141","192","0","2493","2507","1254","1253"
"14","3","0","1","4","5000","4","523","365","102","559","0","135","424","244","139","176","0","2498","2502","1249","1253"
"1","3","0","1","4","5000","4","523","365","93","595","0","135","460","261","129","205","0","2533","2467","1222","1245"
"6","3","0","1","4","5000","4","523","365","96","575","0","137","438","266","123","186","0","2500","2500","1269","1231"
"9","3","0","1","4","5000","4","523","365","107","573","0","153","420","267","119","187","0","2426","2574","1293","1281"
"3","3","0","1","4","5000","4","523","365","105","574","0","147","427","255","136","183","0","2464","2536","1274","1262"
"5","3","0","1","4","5000","4","523","365","91","577","0","124","453","262","128","187","0","2546","2454","1230","1224"
"4","3","0","1","4","5000","4","523","365","94","569","0","134","435","266","113","190","0","2498","2502","1245","1257"
"10","3","0","1","4","5000","4","523","365","101","588","0","149","439","249","143","196","0","2476","2524","1264","1260"
"13","3","0","1","4","5000","4","523","365","82","585","0","114","471","255","131","199","0","2398","2602","1318","1284"
"7","3","0","1","4","5000","4","523","365","109","577","0","167","410","288","102","187","0","2550","2450","1196","1254"
"15","3","0","1","4","5000","4","523","730","205","788","0","334","454","357","177","254","0","2523","2477","1254","1223"
"11","3","0","1","4","5000","4","523","730","201","805","0","325","480","371","166","268","0","2560","2440","1212","1228"
"2","3","0","1","4","5000","4","523","365","103","582","0","146","436","258","134","190","0","2510","2490","1235","1255"
"12","3","0","1","4","5000","4","523","730","201","753","0","306","447","344","175","234","0","2531","2469","1273","1196"
"8","3","0","1","4","5000","4","523","730","210","789","0","354","435","347","175","267","0","2493","2507","1254","1253"
"14","3","0","1","4","5000","4","523","730","207","739","0","319","420","324","174","241","0","2498","2502","1249","1253"
"6","3","0","1","4","5000","4","523","730","184","772","0","297","475","359","164","249","0","2500","2500","1269","1231"
"16","3","0","1","4","5000","4","523","730","220","761","0","346","415","339","176","246","0","2530","2470","1242","1228"
"3","3","0","1","4","5000","4","523","730","205","782","0","342","440","354","176","252","0","2464","2536","1274","1262"
"1","3","0","1","4","5000","4","523","730","210","812","0","353","459","360","186","266","0","2533","2467","1222","1245"
"9","3","0","1","4","5000","4","523","730","220","776","0","350","426","346","168","262","0","2426","2574","1293","1281"
"4","3","0","1","4","5000","4","523","730","197","781","0","334","447","352","161","268","0","2498","2502","1245","1257"
"5","3","0","1","4","5000","4","523","730","201","791","0","314","477","361","171","259","0","2546","2454","1230","1224"
"10","3","0","1","4","5000","4","523","730","203","799","0","337","462","342","183","274","0","2476","2524","1264","1260"
"7","3","0","1","4","5000","4","523","730","218","783","0","378","405","383","143","257","0","2550","2450","1196","1254"
"13","3","0","1","4","5000","4","523","730","189","786","0","310","476","347","177","262","0","2398","2602","1318","1284"
"15","3","0","1","4","5000","4","523","1095","310","946","0","547","399","427","213","306","0","2523","2477","1254","1223"
"11","3","0","1","4","5000","4","523","1095","299","962","0","538","424","447","201","314","0","2560","2440","1212","1228"
"6","3","0","1","4","5000","4","523","1095","302","927","0","536","391","429","204","294","0","2500","2500","1269","1231"
"8","3","0","1","4","5000","4","523","1095","322","950","0","582","368","428","210","312","0","2493","2507","1254","1253"
"14","3","0","1","4","5000","4","523","1095","320","905","0","553","352","389","219","297","0","2498","2502","1249","1253"
"12","3","0","1","4","5000","4","523","1095","305","894","0","521","373","405","205","284","0","2531","2469","1273","1196"
"3","3","0","1","4","5000","4","523","1095","315","942","0","561","381","417","221","304","0","2464","2536","1274","1262"
"16","3","0","1","4","5000","4","523","1095","309","921","0","539","382","409","209","303","0","2530","2470","1242","1228"
"4","3","0","1","4","5000","4","523","1095","309","925","0","545","380","421","192","312","0","2498","2502","1245","1257"
"1","3","0","1","4","5000","4","523","1095","322","957","0","571","386","430","219","308","0","2533","2467","1222","1245"
"9","3","0","1","4","5000","4","523","1095","314","941","0","568","373","423","204","314","0","2426","2574","1293","1281"
"10","3","0","1","4","5000","4","523","1095","306","973","0","562","411","428","219","326","0","2476","2524","1264","1260"
"5","3","0","1","4","5000","4","523","1095","311","944","0","524","420","430","212","302","0","2546","2454","1230","1224"
"2","3","0","1","4","5000","4","523","730","213","787","0","348","439","352","172","263","0","2510","2490","1235","1255"
"7","3","0","1","4","5000","4","523","1095","298","965","0","561","404","461","185","319","0","2550","2450","1196","1254"
"13","3","0","1","4","5000","4","523","1095","296","949","0","512","437","417","212","320","0","2398","2602","1318","1284"
"15","3","0","1","4","5000","4","523","1460","496","1107","0","827","280","509","250","348","0","2523","2477","1254","1223"
