"BehaviorSpace results (NetLogo 6.4.0)","Stats version 2.0"
"HIV-thesis-feb-24-3-55-pm.nlogo"
"treatment-tendency"
"02/26/2024 00:40:23:159 +0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-12","12","-12","12"
"average-coupling-tendency","average-drug-tendency","average-test-frequency","average-condom-use","initial-people","average-treatment-tendency","average-commitment","[step]","(mean) count turtles with [treated?]","(std) count turtles with [treated?]","(mean) count turtles with [infected?]","(std) count turtles with [infected?]","(mean) count turtles with [drugs?]","(std) count turtles with [drugs?]","(mean) count turtles with [known?]","(std) count turtles with [known?]","(mean) count turtles with [infected? and not known?]","(std) count turtles with [infected? and not known?]","(mean) count turtles with [gender = 1 and infected?]","(std) count turtles with [gender = 1 and infected?]","(mean) count turtles with [shape = ""person lefty"" and infected?]","(std) count turtles with [shape = ""person lefty"" and infected?]","(mean) count turtles with [shape = ""person righty"" and infected?]","(std) count turtles with [shape = ""person righty"" and infected?]","(mean) count turtles with [infected? and drugs?]","(std) count turtles with [infected? and drugs?]","(mean) count turtles with [gender = 1]","(std) count turtles with [gender = 1]","(mean) count turtles with [gender = 0]","(std) count turtles with [gender = 0]","(mean) count turtles with [shape = ""person lefty""]","(std) count turtles with [shape = ""person lefty""]","(mean) count turtles with [shape = ""person righty""]","(std) count turtles with [shape = ""person righty""]"
"3","0.1","1","4","5000","0","523","0","0","0","400","0","63","0","0","0","400","0","200.84","8.521408334307187","101.28","7.124717538260728","97.88","7.366518852212354","0","0","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.3306418123736","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","365","99.56","9.265333237396266","594.48","10.008476407525771","63","0","144.96","13.768020918054999","449.52","12.986516084000357","264.72","8.72018348430811","134.76","7.921010036605179","195","9.478396488858229","11.72","1.2812493902437572","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.3306418123736","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","730","202.24","9.774579274833266","811.04","20.547466997175096","63","0","339.36","21.065383927192023","471.68","22.097456867250585","359.68","11.636906805504632","180.44","10.703569498069323","270.92","13.649673988780831","14.08","1.937420966129974","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.3306418123736","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","1095","308.56","9.834958057866846","979.84","26.273454283744268","63","0","560.6","24.612192100664256","419.24","26.03271787578085","437.32","15.483462145140537","219.76","9.948989898477134","322.76","15.559640098665522","16.88","2.916436181369309","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.3306418123736","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","1460","495.96","7.560317453652327","1142.44","34.37217479299208","63","0","861.12","28.138685114980053","281.32","19.957394619538892","509.28","19.395917096131342","257.76","11.652570531861201","375.4","19.44222209522358","18.84","3.1199999999999997","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.33064181237361","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","1825","595.2","10.09158064923429","1393.72","47.806710825991786","63","0","1139.92","37.90083904084446","253.8","20.165316759227963","620.08","25.126750685275645","313.76","16.393364511289317","459.88","23.063945889634752","21.48","3.4770102099361164","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.33064181237361","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","2190","816.76","19.469524904321624","1637.52","61.11897904906463","63","0","1490.76","53.06168485828545","146.76","18.524103217160064","729.16","32.231264325185876","367.52","19.331052739051746","540.84","26.482718893648364","24.32","3.529532546952924","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.3306418123736","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","2555","1029.56","30.126506601330334","1856.4","75.78601454094283","63","0","1760.04","68.90717234076581","96.36","13.579042676124116","826.56","35.319207239121326","417.96","22.174724350034207","611.88","33.79623647686233","27.04","3.903639327601873","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.33064181237361","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","2920","1168.68","35.04821821434008","2131.28","87.80274255397721","63","0","2055.8","84.09613546412226","75.48","9.724690226428809","953.04","41.289688785458296","480.48","25.23667172984584","697.76","38.99669729605316","30.24","3.911828217087248","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.33064181237361","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","3285","1410.36","47.66875706372048","2411.52","102.33518261086945","63","0","2361.52","100.87977795376037","50","7.939773296511683","1081.44","46.75474735254164","546.8","28.595104476116187","783.28","45.383274452159135","33.48","4.5966944645038135","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.33064181237361","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","3650","1674.08","62.824784918056025","2661.68","107.82308472678753","63","0","2628.64","107.29767192255385","33.04","7.426870134854924","1199","49.2609378717052","606.48","32.62038626380748","856.2","46.15365640986638","36.12","5.030467175123997","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.33064181237361","1247.2","31.632894271628068"
"3","0.1","1","4","5000","0","523","4015","1897.96","79.28756775182349","2908.2","112.35301509082879","63","0","2885.44","113.41396033998637","22.76","4.843800161030593","1314.68","53.06126270642265","666.96","33.49922984189338","926.56","47.68822076781645","38.68","4.9616126410674175","2496.44","31.400738844810643","2503.56","31.400738844810643","1256.36","32.33064181237361","1247.2","31.632894271628068"
